Monthly_Inflow,Monthly_Outflow,Gst_compliance_score,Ecommerce_sales,Supplier_payments,Invoice_issued,Invoice_amount,Employee_count,Asset_value,Business_age,Business_size,Credit_score
28763.469704991097,16826.92791892809,58.33609186547508,13161.7482815985,11168.251667741177,18,1662.1624866510567,24,56802.26115583552,4,small,514.1770749762121
26591.62579955256,8227.024728487235,65.96780147813277,10924.374256184949,5100.624152261589,17,1553.5257900799538,42,146433.90879735866,10,small,641.1496150331741
9452.749084013289,6867.986609915583,43.16472088127821,2912.595725929676,4151.698374373811,9,852.4979523186345,1,9369.701226317662,0,micro,430.05005033086945
19621.104018557286,13798.251997411973,49.33581697665346,243.38230025624304,9963.565484352752,19,893.8509271858712,12,61448.75237560432,4,small,459.3396335749286
16888.107582335597,12046.632253666301,58.8438708918318,4914.482090021929,7138.773140866788,14,1274.3101061727125,25,66935.30772111638,4,small,551.1892437125388
172206.18068537329,82830.74109029579,84.9938304792737,117112.6164908425,32086.438271669762,87,1860.5842293956625,71,510229.24096042954,9,medium,718.6120508080281
71172.28795656528,39152.62977461302,76.71682676906778,35064.510545716555,16612.483023043198,37,1935.4830797140198,60,121266.1682894669,12,medium,650.3502410934474
22370.115713669824,13929.800373513433,60.3375502844582,9526.792761212504,8265.803962606911,12,1529.3922165213135,26,111065.17450089839,2,small,544.8928529219252
44599.4689826567,11678.411356514904,62.5952333576101,5625.438494525019,5933.513130037972,29,1430.2018701169109,41,133556.6886672895,9,small,579.4507070638781
18321.835683155485,13254.5069772998,59.1897549369656,7021.8942470006305,7927.311375730948,16,1315.579056928063,30,102360.18206481989,4,small,552.2817079315655
8989.371202316624,7579.558939626272,50.239891152712964,3287.4717616249627,5241.540792577889,5,1852.2287550251638,6,16081.497866207847,1,small,464.1691783032763
12874.7462102654,7911.654710844012,51.79542378862763,392.33945134172205,5566.621359866807,9,1133.5364560775588,9,33075.09296783744,6,small,447.1079016851192
9466.385087212844,5834.298812079509,54.95451339919979,1005.0652323869837,4245.266521178394,12,854.8583470306451,3,20620.203817835547,2,micro,447.50158464049304
13433.514210851537,5386.068994045573,61.714285197478205,4300.498065931849,3407.9385270270977,13,891.7763648654619,24,72211.27451755284,6,small,522.1841186720891
16149.234790254748,9929.729148910146,65.22704433022196,3577.4260497114815,5660.330517509834,7,1988.8672847095895,34,36812.781905783406,7,small,523.6057742281697
4861.188558485678,2876.491207807641,32.334320269670854,49.81253454126554,1697.6540648105893,9,529.4014932979421,1,11841.967849887727,0,micro,379.92744990437944
58992.5661662182,17101.87932257887,75.44940563790372,20133.46306250475,10414.058807375404,34,1686.3737036748926,48,94301.64112568775,10,small,615.3411755800182
30963.303461640713,14521.984124010409,57.70417073336126,7413.24058209605,8548.953700655957,17,1971.0882993450034,28,31683.907769216126,7,small,525.2274989231897
25076.382109600698,16599.74620644714,57.900112085835055,8735.275231198813,10547.500397244456,17,1311.007649868156,23,44584.61352242121,0,small,493.9610213231788
19462.925144558398,10123.47333641266,58.3415922692028,7870.179270582256,6113.701561099237,13,1500.0917769423697,20,51106.94186788335,1,small,508.69036987435334
93992.6816959657,39444.790835703716,83.96577315108888,48029.01795206602,23207.34220648428,49,2029.6198719799859,56,408286.8907293573,12,medium,686.9710371671803
12986.608726903985,5413.892939223938,64.65644753514799,3925.730380893302,3918.189276783203,9,1489.9602847054182,20,93536.81911666635,5,small,567.3739096608338
12152.924463111065,7462.682096588429,63.85606398178728,903.9088009417362,5259.248869059338,11,1066.7465784442477,24,84596.95739853376,5,small,526.0164710351441
35563.89202703615,20300.985588946933,67.43079973897702,5121.121069964003,9586.663816173399,18,1754.6267482445069,41,143298.1979921879,8,small,592.4762992345634
